curie,label,retrieved_at
NCBITaxon:1173701,Colletotrichum sublineola,2026-06-14T12:52:36.186487
NCBITaxon:146530,Avena barbata,2026-06-14T12:52:06.078159
NCBITaxon:15368,Brachypodium distachyon,2026-06-14T12:52:06.076677
NCBITaxon:154761,Miscanthus floridulus,2026-06-17T23:39:53.376859
NCBITaxon:2,Bacteria,2025-12-16T18:00:30.701617
NCBITaxon:211586,Shewanella oneidensis MR-1,2026-06-14T12:52:10.632056
NCBITaxon:2157,Archaea,2025-12-16T18:00:30.702441
NCBITaxon:29883,Laccaria bicolor,2026-06-14T12:52:28.911776
NCBITaxon:3694,Populus trichocarpa,2026-06-14T12:52:21.030124
NCBITaxon:3696,Populus deltoides,2026-06-14T12:52:21.028944
NCBITaxon:38727,Panicum virgatum,2026-06-14T12:52:37.961279
NCBITaxon:4558,Sorghum bicolor,2026-06-14T12:52:36.185247
NCBITaxon:4577,Zea mays,2026-06-17T23:07:49.167548
NCBITaxon:4751,Fungi,2025-12-16T18:00:30.703261
NCBITaxon:62324,Anopheles funestus,2026-06-14T12:52:37.962697
NCBITaxon:62336,Miscanthus,2026-06-14T12:54:37.599740
NCBITaxon:62337,Miscanthus sinensis,2026-06-14T12:52:16.933779
NCBITaxon:640484,Populus x jackii,2026-06-17T23:39:55.699641
NCBITaxon:679895,Escherichia coli BW25113,2026-06-14T12:52:10.630567
